district_id,name,population,area,latitude,longitude,name_KOR
1,Dobong-gu,323280,20.65,37.6658609,127.0317674,도봉구
2,Eunpyeong-gu,478922,29.71,37.6176125,126.9227004,은평구
3,Dongdaemun-gu,352591,14.22,37.5838012,127.0507003,동대문구
4,Dongjak-gu,398310,16.35,37.4965037,126.9443073,동작구
5,Geumcheon-gu,244273,13.02,37.4600969,126.9001546,금천구
6,Guro-gu,425854,20.12,37.4954856,126.858121,구로구
7,Jongno-gu,156325,23.91,37.5990998,126.9861493,종로구
8,Gangbuk-gu,307080,23.6,37.6469954,127.0147158,강북구
9,Jungnang-gu,396278,18.5,37.5953795,127.0939669,중랑구
10,Gangnam-gu,538352,39.5,37.4959854,127.0664091,강남구
11,Gangseo-gu,583046,41.44,37.5657617,126.8226561,강서구
12,Jung-gu,133717,9.96,37.5579452,126.9941904,중구
13,Gangdong-gu,469235,24.59,37.5492077,127.1464824,강동구
14,Gwangjin-gu,355820,17.06,37.5481445,127.0857528,광진구
15,Mapo-gu,379506,23.85,37.5622906,126.9087803,마포구
16,Seocho-gu,424123,46.98,37.4769528,127.0378103,서초구
17,Seongbuk-gu,443999,24.58,37.606991,127.0232185,성북구
18,Nowon-gu,521438,35.44,37.655264,127.0771201,노원구
19,Songpa-gu,665856,33.87,37.5048534,127.1144822,송파구
20,Seodaemun-gu,318550,17.63,37.5820369,126.9356665,서대문구
21,Yangcheon-gu,455444,17.41,37.5270616,126.8561534,양천구
22,Yeongdeungpo-gu,402990,24.55,37.520641,126.9139242,영등포구
23,Gwanak-gu,503490,29.57,37.4653993,126.9438071,관악구
24,Seongdong-gu,298230,16.86,37.5506753,127.0409622,성동구
25,Yongsan-gu,243142,21.87,37.5311008,126.9810742,용산구
